Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Full User""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:17,2022-05-30 17:51:17,0.664s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Continue""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:17,2022-05-30 17:51:18,0.265s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true)",Chrome 101.0.4951.64,,,2022-05-30 17:51:18,2022-05-30 17:51:20,2.284s,PASSED
"if (waitForElementVisible(findTestObject(""Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Job title_job_title""), 3))",Chrome 101.0.4951.64,,,2022-05-30 17:51:20,2022-05-30 17:51:21,1.075s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), firstname)",Chrome 101.0.4951.64,,,2022-05-30 17:51:21,2022-05-30 17:51:22,0.495s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), lastname)",Chrome 101.0.4951.64,,,2022-05-30 17:51:22,2022-05-30 17:51:22,0.486s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Email_email""), email)",Chrome 101.0.4951.64,,,2022-05-30 17:51:22,2022-05-30 17:51:23,0.510s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Select a country  United States  Can_7bdac2""), country, true)",Chrome 101.0.4951.64,,,2022-05-30 17:51:23,2022-05-30 17:51:24,1.505s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Save""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:24,2022-05-30 17:51:24,0.263s,PASSED
"verifyElementText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Selected card""), fullname)",Chrome 101.0.4951.64,,,2022-05-30 17:51:24,2022-05-30 17:51:31,6.772s,PASSED
"verifyOptionSelectedByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true, 10)",Chrome 101.0.4951.64,,,2022-05-30 17:51:31,2022-05-30 17:51:32,0.921s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), ""value"", firstname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:51:32,2022-05-30 17:51:32,0.234s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), ""value"", lastname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:51:32,2022-05-30 17:51:32,0.233s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Delete User""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:51:32,2022-05-30 17:51:33,0.989s,PASSED
closeBrowser(),Chrome 101.0.4951.64,,,2022-05-30 17:51:33,2022-05-30 17:51:34,0.069s,PASSED
,,,,,,,
Test Cases/Olivia_Dynamic/Users Feed/TC001 - Add new user with any role,Chrome 101.0.4951.64,,,2022-05-30 17:51:34,2022-05-30 17:52:04,30.117s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Login""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:51:34,2022-05-30 17:51:39,5.399s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Menu""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:39,2022-05-30 17:51:42,3.268s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/i_Menu_icon icon-settings""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:42,2022-05-30 17:51:43,0.867s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Users""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:43,2022-05-30 17:51:46,2.710s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/i_Users_icon-plus""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:46,2022-05-30 17:51:48,2.311s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Full User""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:48,2022-05-30 17:51:49,0.659s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Continue""))",Chrome 101.0.4951.64,,,2022-05-30 17:51:49,2022-05-30 17:51:49,0.257s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true)",Chrome 101.0.4951.64,,,2022-05-30 17:51:49,2022-05-30 17:51:51,2.001s,PASSED
"if (waitForElementVisible(findTestObject(""Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Job title_job_title""), 3))",Chrome 101.0.4951.64,,,2022-05-30 17:51:51,2022-05-30 17:51:52,0.721s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), firstname)",Chrome 101.0.4951.64,,,2022-05-30 17:51:52,2022-05-30 17:51:53,0.793s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), lastname)",Chrome 101.0.4951.64,,,2022-05-30 17:51:53,2022-05-30 17:51:53,0.482s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Email_email""), email)",Chrome 101.0.4951.64,,,2022-05-30 17:51:53,2022-05-30 17:51:54,0.504s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Select a country  United States  Can_7bdac2""), country, true)",Chrome 101.0.4951.64,,,2022-05-30 17:51:54,2022-05-30 17:51:55,1.490s,PASSED
